JobId,MatchedJobs,OtherSuggested,Date,datepart,month,year
3674557,8575,17691,25-07-2015,25,07,2015
3631725,99,53469,16-07-2015,16,07,2015
3651879,260,41440,18-07-2015,18,07,2015
3681463,321,1333,25-07-2015,25,07,2015
3611323,774,200,11-07-2015,11,07,2015
2886229,1225,15352,03-03-2015,03,03,2015
2886229,1090,12400,28-04-2015,28,04,2015
2886229,1417,10517,29-04-2015,29,04,2015
2886229,1417,10517,29-04-2015,29,04,2015
2886229,1417,10517,29-04-2015,29,04,2015
2886229,1417,10517,29-04-2015,29,04,2015
3600925,227,3,11-07-2015,11,07,2015
3264115,201,117,07-05-2015,07,05,2015
3629137,1022,965,16-07-2015,16,07,2015
3520213,314,143,27-06-2015,27,06,2015
3656953,414,5372,21-07-2015,21,07,2015
3656953,421,11,23-07-2015,23,07,2015
3668957,496,2714,23-07-2015,23,07,2015
3668957,496,2672,25-07-2015,25,07,2015
3525509,7,44,27-06-2015,27,06,2015
3525509,0,0,03-07-2015,03,07,2015
3398805,39,460,30-05-2015,30,05,2015
3573991,1674,289,07-07-2015,07,07,2015
3281075,146,9628,09-05-2015,09,05,2015
3587701,669,670,09-07-2015,09,07,2015
3546111,17,5201,02-07-2015,02,07,2015
3521685,8,14916,25-06-2015,25,06,2015
3521685,7,15080,27-06-2015,27,06,2015
3565547,1258,20308,04-07-2015,04,07,2015
2920101,1315,15903,14-03-2015,14,03,2015
2920101,988,7414,17-03-2015,17,03,2015
2920101,1289,15370,25-03-2015,25,03,2015
2920101,952,10468,26-03-2015,26,03,2015
2920101,1323,11494,27-03-2015,27,03,2015
2920101,628,863,28-03-2015,28,03,2015
2920101,1306,15475,02-04-2015,02,04,2015
2920101,1317,15644,04-04-2015,04,04,2015
2920101,970,11666,09-04-2015,09,04,2015
2920101,1322,16032,11-04-2015,11,04,2015
2920101,1305,15988,25-04-2015,25,04,2015
2920101,967,8825,28-04-2015,28,04,2015
2920101,1328,4760,29-04-2015,29,04,2015
2920101,1328,4760,29-04-2015,29,04,2015
2920101,1328,4760,29-04-2015,29,04,2015
2920101,936,9668,07-05-2015,07,05,2015
2920101,1354,17038,09-05-2015,09,05,2015
2920101,934,11294,12-05-2015,12,05,2015
2920101,212,7845,26-05-2015,26,05,2015
2920101,768,15121,27-05-2015,27,05,2015
2920101,772,16095,30-05-2015,30,05,2015
2920101,779,15544,02-06-2015,02,06,2015
3597615,41,778,09-07-2015,09,07,2015
3597615,44,70,11-07-2015,11,07,2015
