job_minsal,user_ctc,min_salary_score
Rs 2.0 - 2.5 Lakh / Yr,Rs 32 - 34 Lakh / Yr,4.17E-05
Rs 2.0 - 2.5 Lakh / Yr,Rs 34 - 36 Lakh / Yr,0.000354706
Rs 2.0 - 2.5 Lakh / Yr,Rs 36 - 38 Lakh / Yr,0.00012519
Rs 2.0 - 2.5 Lakh / Yr,Rs 38 - 40 Lakh / Yr,4.17E-05
Rs 2.0 - 2.5 Lakh / Yr,Rs 4.0 - 4.5 Lakh / Yr,0.038767292
Rs 2.0 - 2.5 Lakh / Yr,Rs 4.5 - 5.0 Lakh / Yr,0.015231498
Rs 2.0 - 2.5 Lakh / Yr,Rs 40 - 42 Lakh / Yr,8.35E-05
Rs 2.0 - 2.5 Lakh / Yr,Rs 44 - 46 Lakh / Yr,4.17E-05
Rs 2.0 - 2.5 Lakh / Yr,Rs 46 - 48 Lakh / Yr,4.17E-05
Rs 2.0 - 2.5 Lakh / Yr,Rs 48 - 50 Lakh / Yr,8.35E-05
