job_maxexp,user_experience,max_exp_score
<1 Yr,1 Yr,0.100882724
<1 Yr,10 Yrs,0.003678016
<1 Yr,11 Yrs,0.001155948
<1 Yr,12 Yrs,0.002311896
<1 Yr,13 Yrs,0.001471206
<1 Yr,14 Yrs,0.000945776
<1 Yr,15 Yrs,0.001261034
<1 Yr,16 Yrs,0.000210172
<1 Yr,17 Yrs,0.000420345
<1 Yr,18 Yrs,0.000315259
<1 Yr,19 Yrs,0.000630517
<1 Yr,2 Yrs,0.044241278
<1 Yr,20 Yrs,0.000630517
<1 Yr,21 Yrs,0.000210172
<1 Yr,22 Yrs,0.000315259
<1 Yr,3 Yrs,0.020807062
<1 Yr,4 Yrs,0.012505254
<1 Yr,5 Yrs,0.009983186
<1 Yr,6 Yrs,0.007776377
<1 Yr,7 Yrs,0.00493905
<1 Yr,8 Yrs,0.004203447
<1 Yr,9 Yrs,0.003362757
<1 Yr,> 25 Yrs,0.000840689
> 25 Yrs,0 Yr,0.212745098
> 25 Yrs,1 Yr,0.049019608
> 25 Yrs,10 Yrs,0.029411765
> 25 Yrs,11 Yrs,0.021568627
> 25 Yrs,12 Yrs,0.020588235
> 25 Yrs,13 Yrs,0.014705882
> 25 Yrs,14 Yrs,0.009803922
> 25 Yrs,15 Yrs,0.028431373
> 25 Yrs,16 Yrs,0.015686275
> 25 Yrs,17 Yrs,0.011764706
> 25 Yrs,18 Yrs,0.020588235
> 25 Yrs,19 Yrs,0.007843137
> 25 Yrs,2 Yrs,0.037254902
> 25 Yrs,20 Yrs,0.030392157
> 25 Yrs,21 Yrs,0.019607843
> 25 Yrs,22 Yrs,0.030392157
> 25 Yrs,23 Yrs,0.021568627
> 25 Yrs,24 Yrs,0.026470588
> 25 Yrs,3 Yrs,0.033333333
> 25 Yrs,4 Yrs,0.037254902
> 25 Yrs,5 Yrs,0.034313725
> 25 Yrs,6 Yrs,0.017647059
> 25 Yrs,7 Yrs,0.012745098
> 25 Yrs,8 Yrs,0.025490196
> 25 Yrs,9 Yrs,0.02745098
> 25 Yrs,> 25 Yrs,0.203921569
